0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,864",
Jail Population,"5,936",
Community Corrections,928,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
25
116
8
Division 6 Annex, Division 08, Div 9, Div
0.4%
2.0%
0.1%
35
10, Div 11, Div 16 Boot Camp, 8RTU
34
Annex, Div 5 Annex
0.6%
0.6%
Women - Cermak, Division 3 Annex,
Division 08
355
6.0%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,363
90.3%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
