0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,204",
Jail Population,"5,844",
Community Corrections,360,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
17
105
4
Division 6 Annex, Division 08, Div 9, Div
0.3%
1.8%
0.1%
40
10, Div 11, Div 16 Boot Camp, 8RTU
46
Annex, Div 5 Annex
0.7%
0.8%
Women - Cermak, Division 3 Annex,
Division 08
359
6.1%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,273
90.2%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
