0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,904",
Jail Population,"5,402",
Community Corrections,"1,502",
"Jail Population - Behind the Walls
16
Men - Cermak, Division 5, Division 6,
105
12
Division 6 Annex, Division 08, Div 9, Div
0.3%
1.9%
0.2%
38
10, Div 11, Div 16 Boot Camp, 8RTU
27
0.7%
Annex, Div 5 Annex
0.5%
Women - Cermak, Division 3 Annex,
278
Division 08
5.1%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,926
91.2%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
