0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"7,092",
Jail Population,"5,639",
Community Corrections,"1,453",
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
16
106
7
Division 6 Annex, Division 08, Div 9, Div
0.3%
1.9%
0.1%
39
10, Div 11, Div 16 Boot Camp, 8RTU
34
Annex, Div 5 Annex
0.7%
0.6%
Women - Cermak, Division 3 Annex,
Division 08
302
5.4%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,135
91.1%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
