0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,859",
Jail Population,"5,873",
Community Corrections,986,
"Jail Population - Behind the Walls
30
Men - Cermak, Division 5, Division 6,
105
8
Division 6 Annex, Division 08, Div 9, Div
0.5%
1.8%
0.1%
36
10, Div 11, Div 16 Boot Camp, 8RTU
37
0.6%
Annex, Div 5 Annex
0.6%
Women - Cermak, Division 3 Annex,
344
Division 08
5.9%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,313
90.5%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
