0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,615",,
Jail Population,"5,136",,
Community Corrections,"1,479",,
"Jail Population - Behind the Walls
109
11
19
2.1%
0.2%
0.4%
Men - Cermak, Division 5, Division 6,
33
34
Division 6 Annex, Division 08, Div 9, Div
0.6%
0.7%
10, Div 11, Div 16 Boot Camp, 8RTU
Annex, Div 5 Annex
251
Women - Cermak, Division 3 Annex,
4.9%
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,679
91.1%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,,
,,,
