0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,389",,
Jail Population,"4,905",,
Community Corrections,"1,484",,
"Jail Population - Behind the Walls
100
10
17
2.0%
0.2%
0.3%
Men - Cermak, Division 5, Division 6,
33
29
Division 6 Annex, Division 08, Div 9, Div
0.7%
0.6%
10, Div 11, Div 16 Boot Camp, 8RTU
Annex, Div 5 Annex
234
Women - Cermak, Division 3 Annex,
4.8%
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,482
91.4%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,,
,,,
