0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,015",
Jail Population,"5,747",
Community Corrections,268,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Div 5 Annex,
24
113
2
Division 6, Division 6 Annex, Division
0.4%
2.0%
0.0%
36
08, 8RTU Annex, Division 9, Division
40
10, Division 11, Division 16 Boot Camp
0.6%
0.7%
Women - Cermak, Division 3 Annex,
Division 08
352
6.1%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,180
90.1%
Men - Division 6 - SMART (Drug
Treatment Program)
Women - Div 3 Annex - THRIVE (Drug
Treatment Program)",,
,,
