0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,215",
Jail Population,"5,989",
Community Corrections,226,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Div 5 Annex,
23
150
0
Division 6, Division 6 Annex, Division
0.4%
2.5%
0.0%
08, 8RTU Annex, Division 9, Division
35
47
10, Division 11, Division 16 Boot Camp
0.6%
0.8%
Women - Cermak, Division 3 Annex,
Division 08
417
7.0%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,317
88.8%
Men - Division 6 - SMART (Drug
Treatment Program)
Women - Div 3 Annex - THRIVE (Drug
Treatment Program)",,
,,
