0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"7,101",
Jail Population,"5,805",
Community Corrections,"1,296",
"Jail Population - Behind the Walls
16
Men - Cermak, Division 5, Division 6,
116
3
Division 6 Annex, Division 08, Div 9, Div
0.3%
2.0%
0.1%
36
10, Div 11, Div 16 Boot Camp, 8RTU
40
0.6%
Annex, Div 5 Annex
0.7%
Women - Cermak, Division 3 Annex,
326
Division 08
5.6%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,268
90.7%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
