0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,641",
Jail Population,"6,015",
Community Corrections,626,
"Jail Population - Behind the Walls
26
Men - Cermak, Division 5, Division 6,
113
6
Division 6 Annex, Division 08, Div 9, Div
0.4%
1.9%
0.1%
38
10, Div 11, Div 16 Boot Camp, 8RTU
41
0.6%
Annex, Div 5 Annex
0.7%
Women - Cermak, Division 3 Annex,
383
Division 08
6.4%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,408
89.9%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
