0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,675",
Jail Population,"6,016",
Community Corrections,659,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
22
117
6
Division 6 Annex, Division 08, Div 9, Div
0.4%
1.9%
0.1%
39
10, Div 11, Div 16 Boot Camp, 8RTU
47
Annex, Div 5 Annex
0.6%
0.8%
Women - Cermak, Division 3 Annex,
Division 08
380
6.3%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,405
89.8%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
