0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,372",,
Jail Population,"4,831",,
Community Corrections,"1,541",,
"Jail Population - Behind the Walls
100
12
9
2.1%
0.2%
0.2%
Men - Cermak, Division 5, Division 6,
28
26
Division 6 Annex, Division 08, Div 9, Div
0.6%
0.5%
10, Div 11, Div 16 Boot Camp, 8RTU
Annex, Div 5 Annex
217
Women - Cermak, Division 3 Annex,
4.5%
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,439
91.9%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,,
,,,
