0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,156",
Jail Population,"5,978",
Community Corrections,178,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Div 5 Annex,
17
149
0
Division 6, Division 6 Annex, Division
0.3%
2.5%
0.0%
08, 8RTU Annex, Division 9, Division
36
48
10, Division 11, Division 16 Boot Camp
0.6%
0.8%
Women - Cermak, Division 3 Annex,
Division 08
427
7.1%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,301
88.7%
Men - Division 6 - SMART (Drug
Treatment Program)
Women - Div 3 Annex - THRIVE (Drug
Treatment Program)",,
,,
