0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"7,295",
Jail Population,"5,772",
Community Corrections,"1,523",
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
15
107
9
Division 6 Annex, Division 08, Div 9, Div
0.3%
1.9%
0.2%
39
10, Div 11, Div 16 Boot Camp, 8RTU
33
Annex, Div 5 Annex
0.7%
0.6%
Women - Cermak, Division 3 Annex,
301
Division 08
5.2%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,268
91.3%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
