0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,650",
Jail Population,"5,839",
Community Corrections,811,
"Jail Population - Behind the Walls
20
Men - Cermak, Division 5, Division 6,
119
6
Division 6 Annex, Division 08, Div 9, Div
0.3%
2.0%
0.1%
41
10, Div 11, Div 16 Boot Camp, 8RTU
41
0.7%
Annex, Div 5 Annex
0.7%
Women - Cermak, Division 3 Annex,
345
Division 08
5.9%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,267
90.2%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
