0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,165",
Jail Population,"5,825",
Community Corrections,340,
"Jail Population - Behind the Walls
23
Men - Cermak, Division 5, Division 6,
113
2
Division 6 Annex, Division 08, Div 9, Div
0.4%
1.9%
0.0%
40
10, Div 11, Div 16 Boot Camp, 8RTU
45
0.7%
Annex, Div 5 Annex
0.8%
Women - Cermak, Division 3 Annex,
356
Division 08
6.1%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,246
90.1%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
