0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,685",,
Jail Population,"5,175",,
Community Corrections,"1,510",,
"Jail Population - Behind the Walls
110
13
20
2.1%
0.3%
0.4%
29
35
0.6%
0.7%
Men - Cermak, Division 5, Division 6,
Division 6 Annex, Division 08, Div 9, Div
252
10, Div 11, Div 16 Boot Camp, 8RTU
4.9%
Annex, Div 5 Annex
Women - Cermak, Division 3 Annex,
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
4,716
Men - VRIC In-Camp
91.1%
Men - Division 6 - SMART (Drug
Treatment Program)",,,
,,,
