0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,564",
Jail Population,"5,910",
Community Corrections,654,
"Jail Population - Behind the Walls
Men - Cermak, Division 5, Division 6,
21
116
6
Division 6 Annex, Division 08, Div 9, Div
0.4%
2.0%
0.1%
38
10, Div 11, Div 16 Boot Camp, 8RTU
47
Annex, Div 5 Annex
0.6%
0.8%
Women - Cermak, Division 3 Annex,
Division 08
373
6.3%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,309
89.8%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
