0,1,2
Under the Custody of the Sheriff,,
Total Male and Female,"6,354",
Jail Population,"5,868",
Community Corrections,486,
"Jail Population - Behind the Walls
18
Men - Cermak, Division 5, Division 6,
105
6
Division 6 Annex, Division 08, Div 9, Div
0.3%
1.8%
0.1%
41
10, Div 11, Div 16 Boot Camp, 8RTU
36
0.7%
Annex, Div 5 Annex
0.6%
Women - Cermak, Division 3 Annex,
379
Division 08
6.5%
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
5,283
90.0%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,
,,
