0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,396",,
Jail Population,"4,830",,
Community Corrections,"1,566",,
"Jail Population - Behind the Walls
108
11
17
2.2%
0.2%
0.4%
Men - Cermak, Division 5, Division 6,
24
27
Division 6 Annex, Division 08, Div 9, Div
0.5%
0.6%
10, Div 11, Div 16 Boot Camp, 8RTU
Annex, Div 5 Annex
228
Women - Cermak, Division 3 Annex,
4.7%
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,415
91.4%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,,
,,,
